N,P,K,temperature,humidity,ph,rainfall,label
92.38,41.96,36.69,23.24,83.96,6.77,219.59,rice
61.27,49.49,39.43,21.54,82.62,7.34,297.54,rice
85.72,43.48,36.86,22.42,84.21,7.78,285.78,rice
82.80,35.67,43.01,24.75,80.59,7.78,216.96,rice
80.14,46.44,44.52,20.60,83.14,7.60,252.02,rice
82.64,40.21,42.87,25.67,82.22,7.92,264.81,rice
68.88,45.92,36.37,25.07,84.44,7.84,291.79,rice
60.60,36.10,40.09,20.12,80.16,7.53,291.71,rice
66.74,55.86,38.23,21.75,83.89,7.13,207.59,rice
94.86,47.57,36.69,24.28,80.69,6.17,232.95,rice
98.34,44.62,36.28,26.54,81.52,6.70,246.65,rice
92.29,50.24,35.67,26.58,82.84,7.16,259.21,rice
95.28,57.68,43.18,20.45,83.89,7.55,271.12,rice
74.24,42.19,38.74,22.58,81.49,7.47,217.74,rice
85.79,42.46,36.81,26.58,80.61,7.66,206.56,rice
70.88,47.41,36.00,24.41,83.05,7.37,238.74,rice
96.90,43.75,41.04,24.96,82.25,6.22,285.23,rice
96.86,45.61,38.42,26.40,80.79,7.00,285.05,rice
77.00,46.07,39.58,25.10,83.11,7.28,217.58,rice
86.55,52.00,42.44,24.03,84.37,6.15,264.28,rice
72.05,57.27,44.13,26.94,83.13,6.30,293.76,rice
63.27,43.56,37.34,24.88,81.25,6.03,245.04,rice
66.79,57.93,37.31,26.66,82.47,7.46,279.22,rice
78.82,59.33,38.55,20.77,80.39,6.49,258.44,rice
96.64,36.04,36.37,26.42,84.54,7.15,254.96,rice
82.63,53.49,37.22,26.51,83.07,6.23,210.36,rice
99.95,37.99,44.95,24.54,81.22,6.24,237.70,rice
88.68,45.49,37.98,23.75,81.79,7.38,224.70,rice
90.68,51.73,39.27,23.12,84.66,7.94,275.45,rice
73.78,40.62,41.06,20.13,80.77,7.31,223.96,rice
85.11,42.65,36.97,25.17,80.01,7.32,275.48,rice
65.43,51.54,40.67,26.68,82.60,7.92,234.41,rice
68.65,52.68,37.90,24.55,80.35,7.32,298.08,rice
61.79,36.94,42.44,23.51,83.05,7.56,248.99,rice
82.35,45.18,44.15,23.60,80.89,6.47,283.36,rice
62.84,51.05,41.59,22.90,80.60,6.25,208.69,rice
67.97,35.79,43.68,24.87,81.74,6.99,222.62,rice
76.56,57.83,44.61,23.78,84.07,6.74,296.57,rice
67.45,59.22,38.34,20.42,80.58,7.52,209.22,rice
66.02,43.62,37.49,21.50,83.02,7.57,245.59,rice
96.84,47.16,44.37,24.46,83.22,7.86,212.66,rice
99.68,53.72,38.52,20.70,83.69,6.86,294.34,rice
76.51,51.57,36.61,24.60,83.30,7.64,294.02,rice
77.28,42.82,38.67,22.77,84.98,6.95,267.89,rice
64.34,51.94,44.36,26.20,80.23,6.47,231.18,rice
84.73,35.83,41.97,23.15,80.66,6.76,239.85,rice
90.00,35.84,41.06,21.86,82.11,6.40,211.65,rice
61.87,41.04,40.02,25.82,83.69,7.08,227.72,rice
60.20,53.57,39.06,20.83,80.75,6.32,235.47,rice
84.06,58.02,42.89,26.52,82.06,7.79,240.94,rice
81.96,39.88,42.80,20.84,83.80,7.25,262.13,rice
80.25,54.39,43.59,26.90,83.09,7.47,288.06,rice
73.05,59.09,37.53,23.58,80.43,7.79,203.09,rice
95.66,54.78,42.26,24.66,81.26,6.14,215.24,rice
79.43,54.95,40.34,24.40,81.08,7.32,208.54,rice
65.27,35.58,43.72,20.16,81.05,7.03,217.07,rice
90.47,45.54,38.69,26.94,82.03,7.94,242.11,rice
96.79,52.87,41.59,21.07,84.22,6.22,248.77,rice
69.56,59.44,38.12,21.62,81.99,6.35,211.86,rice
70.30,38.88,38.97,24.04,84.56,6.19,299.60,rice
71.35,44.73,37.44,24.66,82.07,7.39,291.45,rice
96.38,41.83,41.61,23.00,84.57,7.40,281.87,rice
98.77,39.77,37.43,22.70,83.10,6.25,253.39,rice
106.11,44.53,32.60,24.89,60.21,6.90,72.28,maize
117.26,54.07,36.87,21.92,63.05,6.80,63.77,maize
110.87,34.50,29.35,26.37,60.74,6.12,67.80,maize
109.48,52.26,43.90,26.83,69.56,6.08,60.97,maize
107.06,36.20,31.92,24.66,62.20,6.39,62.09,maize
110.15,32.49,29.47,26.02,64.18,6.34,62.01,maize
107.45,47.38,25.19,25.91,66.10,6.51,64.92,maize
103.11,38.18,40.41,26.85,63.35,6.40,67.38,maize
112.46,47.73,32.89,26.09,60.80,6.38,71.19,maize
108.20,46.49,40.85,25.60,69.88,6.08,73.16,maize
108.92,36.50,40.43,24.68,61.57,6.86,70.91,maize
114.37,34.12,41.36,20.92,67.86,6.08,63.84,maize
118.55,47.35,29.33,25.03,60.11,6.24,64.35,maize
106.73,49.13,34.49,25.11,66.87,6.73,60.70,maize
109.01,50.99,30.88,20.06,68.78,6.67,70.30,maize
117.41,53.67,29.02,20.50,67.11,7.00,65.18,maize
110.71,49.36,29.86,24.91,64.19,6.52,72.46,maize
116.90,43.00,42.81,20.00,60.73,6.03,65.96,maize
106.09,30.73,34.04,22.65,63.71,6.57,70.40,maize
115.89,43.32,28.09,21.21,62.05,6.48,61.38,maize
111.85,57.45,36.27,23.18,64.20,6.06,66.44,maize
104.17,32.54,43.76,24.17,62.67,6.75,67.01,maize
113.20,47.54,37.96,22.82,68.44,6.73,62.72,maize
111.16,40.96,25.79,21.31,69.33,6.12,68.10,maize
114.26,40.57,28.98,20.91,66.72,6.29,73.74,maize
106.31,54.69,36.12,21.19,63.31,6.71,72.18,maize
108.18,51.53,42.11,25.80,60.45,6.95,72.81,maize
108.03,34.54,28.55,25.34,68.28,6.66,70.48,maize
100.94,48.32,27.56,24.13,64.86,6.51,60.49,maize
108.65,54.58,27.16,22.45,61.06,6.65,61.97,maize
108.22,46.81,34.30,20.98,65.27,6.38,66.34,maize
116.71,38.84,37.66,25.89,68.84,6.32,71.66,maize
101.75,43.84,35.79,20.22,69.19,6.15,69.66,maize
112.39,53.91,40.95,22.71,62.62,6.08,71.31,maize
112.75,47.73,28.57,26.32,67.29,6.07,66.65,maize
111.84,30.06,38.98,24.73,64.70,6.50,69.40,maize
112.16,50.45,33.85,25.95,64.21,6.70,61.01,maize
114.57,46.32,34.93,23.88,64.06,6.40,68.56,maize
119.58,48.42,32.50,22.36,60.98,6.00,63.99,maize
107.39,46.85,29.61,21.27,64.80,6.61,74.13,maize
104.15,37.56,27.97,21.51,63.88,6.88,60.68,maize
111.38,58.84,38.34,26.04,62.58,6.51,73.04,maize
117.65,32.74,35.47,25.97,68.49,6.98,74.58,maize
105.09,50.64,32.85,24.59,63.63,6.27,66.41,maize
119.13,55.41,31.79,22.21,69.55,6.03,65.56,maize
107.10,54.89,29.43,23.92,60.84,6.36,73.91,maize
113.57,34.95,30.78,20.71,61.80,6.98,67.45,maize
112.11,54.69,28.18,25.18,67.57,6.58,73.77,maize
110.95,43.20,36.15,22.84,69.64,6.08,69.68,maize
103.68,40.10,35.03,20.31,69.72,6.79,63.68,maize
107.15,41.50,36.02,21.98,63.44,6.02,61.33,maize
106.90,44.37,43.00,24.24,67.53,6.17,61.08,maize
103.34,31.88,36.53,20.99,67.44,6.75,73.27,maize
105.95,30.32,28.35,24.17,65.65,6.04,71.90,maize
100.67,39.58,29.14,23.41,69.18,6.33,69.47,maize
109.27,41.58,43.00,26.48,68.23,6.96,67.68,maize
102.67,51.24,35.22,21.25,61.11,6.17,67.21,maize
111.08,46.54,42.67,22.59,68.87,6.14,61.42,maize
111.48,39.63,31.93,23.09,63.39,6.08,68.00,maize
115.73,50.77,41.91,20.35,68.43,6.48,61.29,maize
117.38,33.36,39.45,24.96,61.17,6.61,67.16,maize
100.88,48.68,32.58,23.14,66.68,6.06,74.58,maize
114.19,55.73,43.44,26.68,67.64,6.89,66.17,maize
104.35,53.89,36.92,23.31,68.97,6.16,73.74,maize
107.48,40.15,27.68,22.57,63.38,6.57,70.68,maize
108.48,58.23,34.23,24.28,62.56,6.46,62.74,maize
113.35,35.76,34.04,26.06,63.95,6.33,68.42,maize
102.03,48.96,39.45,24.33,63.30,6.17,65.74,maize
113.32,53.68,41.04,26.17,69.46,6.89,67.35,maize
102.40,40.26,28.19,22.28,65.46,6.68,73.80,maize
102.37,33.42,37.98,22.34,69.04,6.91,74.56,maize
113.96,41.77,29.50,23.21,61.92,6.41,71.46,maize
101.54,47.59,35.65,21.63,68.88,6.34,74.67,maize
109.18,51.04,43.17,25.08,60.01,6.79,68.67,maize
114.64,31.17,35.67,25.78,68.84,6.10,65.26,maize
103.71,36.64,39.38,26.36,68.80,6.04,66.13,maize
117.98,31.21,39.26,21.39,61.25,6.44,67.46,maize
116.71,37.44,43.04,20.32,66.93,6.23,70.18,maize
110.77,49.64,33.54,24.48,60.54,6.50,61.27,maize
114.66,49.86,44.70,20.36,63.13,6.94,72.35,maize
101.69,39.45,42.34,22.01,69.16,6.59,68.59,maize
101.82,31.73,27.29,20.09,62.73,6.11,71.80,maize
102.45,55.32,33.87,23.31,60.08,6.02,66.19,maize
106.91,45.01,25.82,22.88,61.22,6.28,71.75,maize
100.90,53.38,27.07,23.90,65.78,6.72,66.06,maize
115.14,38.08,33.91,22.27,65.77,6.72,61.62,maize
117.25,55.85,31.07,20.44,69.30,6.47,64.82,maize
107.80,31.35,42.37,21.91,63.52,6.24,70.51,maize
115.57,43.98,26.69,26.61,61.54,6.53,70.41,maize
109.84,38.58,32.55,25.26,65.18,6.44,64.17,maize
113.05,54.56,39.19,22.68,60.28,6.73,64.70,maize
101.92,44.40,43.85,26.80,63.43,6.72,68.68,maize
107.17,45.26,34.79,24.83,61.83,6.15,73.08,maize
104.44,31.87,31.93,21.99,67.69,6.57,66.90,maize
105.97,45.99,35.69,24.53,60.54,6.13,72.98,maize
117.34,43.44,37.68,26.33,61.01,6.74,64.16,maize
116.58,31.35,38.96,20.68,68.15,6.77,74.94,maize
114.16,35.81,32.27,24.37,66.29,6.07,70.30,maize
103.16,58.99,41.05,22.36,68.14,6.71,63.62,maize
102.78,36.74,40.38,26.07,63.32,6.79,64.19,maize
42.46,68.87,79.48,19.89,18.35,7.27,90.73,chickpea
38.16,73.92,76.16,18.72,15.55,7.23,85.14,chickpea
41.04,61.24,75.72,19.75,16.79,7.56,87.26,chickpea
40.54,71.24,84.08,19.54,18.66,7.06,92.84,chickpea
39.05,66.94,79.07,17.70,17.00,7.45,93.41,chickpea
36.51,68.52,78.68,17.22,14.08,7.19,91.16,chickpea
39.71,62.12,78.97,17.89,18.17,7.56,81.64,chickpea
37.12,60.91,81.24,18.12,18.31,7.15,88.21,chickpea
35.76,68.36,76.66,19.14,15.75,7.31,90.31,chickpea
41.24,65.44,76.76,17.27,15.24,7.84,92.46,chickpea
41.89,66.74,84.35,18.14,18.66,7.32,89.70,chickpea
44.91,66.94,76.03,17.62,16.78,7.04,76.12,chickpea
35.01,71.19,78.48,18.23,17.38,7.61,83.53,chickpea
42.52,72.25,82.73,18.42,16.21,7.73,90.29,chickpea
40.74,62.71,84.73,18.95,18.68,7.16,87.89,chickpea
42.08,73.38,81.31,19.33,15.34,7.19,83.36,chickpea
44.67,73.74,80.76,19.53,15.92,7.86,75.65,chickpea
41.28,73.29,83.38,17.37,15.84,7.25,77.25,chickpea
40.91,71.06,83.97,18.86,15.53,7.35,93.75,chickpea
42.22,74.98,82.60,19.71,17.34,7.15,78.22,chickpea
41.23,73.58,83.95,18.51,18.44,7.80,76.71,chickpea
37.65,69.45,78.42,17.90,14.83,7.44,81.13,chickpea
43.79,67.67,79.84,17.38,16.88,7.81,86.04,chickpea
42.57,72.62,80.75,19.96,18.84,7.40,87.94,chickpea
44.57,64.51,83.83,18.55,18.23,7.34,80.02,chickpea
41.30,73.93,82.80,18.76,18.12,7.20,78.46,chickpea
38.59,69.95,79.03,18.09,18.00,7.28,83.14,chickpea
35.20,65.69,75.81,19.93,15.17,7.33,94.94,chickpea
43.48,67.67,77.19,17.02,15.03,7.33,86.86,chickpea
37.60,71.54,77.78,17.95,14.43,8.00,81.96,chickpea
43.00,64.60,75.53,17.59,15.57,7.56,75.36,chickpea
39.67,62.75,77.35,19.21,17.95,7.26,81.74,chickpea
35.60,65.72,81.81,19.96,17.69,7.79,81.53,chickpea
38.98,63.76,78.01,17.32,15.70,7.52,86.69,chickpea
38.10,71.49,77.06,17.36,16.33,7.81,94.51,chickpea
44.61,71.99,78.22,18.34,18.03,7.32,87.98,chickpea
38.48,72.11,78.14,19.23,17.28,7.14,86.65,chickpea
42.11,69.57,82.65,18.59,14.91,7.88,93.03,chickpea
37.97,74.30,75.09,18.77,16.78,7.05,90.12,chickpea
44.52,64.77,76.74,17.72,16.17,7.05,83.42,chickpea
40.76,72.99,80.94,17.44,18.65,7.01,83.68,chickpea
38.13,74.83,83.31,19.45,18.75,7.01,82.79,chickpea
42.61,70.10,79.56,17.83,15.59,7.68,78.12,chickpea
37.41,69.66,81.91,19.42,15.34,7.38,86.95,chickpea
43.38,67.62,81.42,17.05,16.96,7.07,88.72,chickpea
43.16,64.58,76.01,18.65,16.70,7.32,84.85,chickpea
35.52,65.44,84.21,17.66,14.71,7.14,78.72,chickpea
36.54,64.51,83.95,18.13,17.59,7.17,90.44,chickpea
38.72,62.69,80.17,17.57,17.39,7.62,90.96,chickpea
42.66,74.30,77.12,17.18,17.91,7.72,84.70,chickpea
43.34,72.41,76.20,18.78,18.25,7.95,91.54,chickpea
40.78,72.37,84.20,17.01,14.65,7.02,81.52,chickpea
38.05,73.86,76.28,18.19,18.85,7.52,91.72,chickpea
44.35,63.38,81.00,18.67,14.42,7.83,82.20,chickpea
35.30,61.72,81.60,19.77,15.15,7.06,92.28,chickpea
35.55,69.17,82.84,17.54,16.84,7.89,88.28,chickpea
43.14,65.44,81.59,19.70,18.90,7.24,78.44,chickpea
37.83,73.03,82.77,17.38,15.49,7.32,89.04,chickpea
37.23,67.70,79.56,17.66,14.12,7.33,77.80,chickpea
37.34,63.26,78.25,18.87,15.38,7.34,80.21,chickpea
35.42,73.03,77.34,18.50,18.28,7.82,75.21,chickpea
36.76,62.00,83.65,17.91,16.16,7.34,75.73,chickpea
37.47,67.15,82.58,17.73,17.65,7.04,90.69,chickpea
40.33,70.82,84.67,18.66,16.57,7.89,88.52,chickpea
42.05,74.45,75.07,17.24,17.39,7.89,90.24,chickpea
43.08,67.58,80.08,18.24,17.11,7.58,89.17,chickpea
42.92,71.48,78.38,17.14,17.45,7.35,87.52,chickpea
37.39,66.64,75.43,17.24,14.31,7.99,87.02,chickpea
41.14,60.50,77.60,17.47,16.50,7.24,82.00,chickpea
42.30,68.27,77.80,17.60,15.04,7.50,92.28,chickpea
44.40,61.69,81.21,18.10,17.26,7.42,88.05,chickpea
40.61,70.84,75.07,19.00,15.66,7.85,94.68,chickpea
39.05,63.78,75.88,19.38,15.32,7.25,82.99,chickpea
44.69,60.25,82.50,19.30,15.09,7.67,79.54,chickpea
41.78,65.32,81.50,17.17,17.86,7.59,83.64,chickpea
41.48,70.94,75.39,19.64,17.80,7.45,93.30,chickpea
44.49,67.49,81.88,19.31,14.46,7.37,84.99,chickpea
42.57,60.41,79.64,17.53,16.47,7.20,78.90,chickpea
39.90,69.27,76.85,18.81,15.43,7.37,80.33,chickpea
36.49,60.26,77.07,17.51,15.60,7.62,78.18,chickpea
37.36,67.94,81.20,18.90,18.89,7.69,80.66,chickpea
37.26,68.21,80.79,18.56,18.21,7.77,83.65,chickpea
40.30,64.56,83.15,19.68,17.16,7.51,89.30,chickpea
43.64,72.71,76.83,19.21,14.31,7.40,91.21,chickpea
35.74,63.94,80.75,17.81,15.05,7.98,90.66,chickpea
44.50,65.38,80.14,17.49,14.08,7.17,82.14,chickpea
43.86,60.01,79.01,19.66,16.48,7.85,77.02,chickpea
38.94,74.51,84.90,18.38,17.41,7.18,86.79,chickpea
37.67,67.24,78.30,17.64,14.66,7.30,88.34,chickpea
38.70,66.26,75.59,19.58,17.84,7.07,80.79,chickpea
36.92,62.95,78.91,17.43,16.02,7.77,87.60,chickpea
37.00,73.76,84.14,19.29,17.53,7.19,77.76,chickpea
38.79,61.05,78.78,18.02,16.32,7.35,78.82,chickpea
41.72,68.37,83.66,19.74,18.70,7.93,83.06,chickpea
37.63,67.26,75.22,18.04,15.63,7.43,85.59,chickpea
42.89,72.74,82.77,18.91,18.42,7.73,83.04,chickpea
37.32,60.53,75.31,18.08,18.64,7.05,92.94,chickpea
42.90,64.32,75.71,18.13,15.69,7.68,78.62,chickpea
44.22,69.46,83.13,18.44,18.29,7.73,92.42,chickpea
36.31,62.99,75.26,18.60,18.35,7.81,94.14,chickpea
20.70,68.54,20.51,17.02,19.89,5.51,71.91,kidneybeans
11.20,57.10,18.97,17.15,22.10,5.59,71.06,kidneybeans
27.38,61.35,15.58,16.02,18.41,5.99,72.42,kidneybeans
24.82,68.84,18.17,16.46,22.50,5.71,66.81,kidneybeans
30.16,55.40,21.21,18.13,18.98,5.53,66.34,kidneybeans
12.76,57.47,21.95,15.24,19.97,5.82,71.37,kidneybeans
13.97,66.14,24.70,15.84,21.33,5.53,73.27,kidneybeans
23.83,63.95,17.28,19.92,21.16,5.99,69.68,kidneybeans
11.47,67.85,23.02,15.85,21.30,5.83,72.74,kidneybeans
20.11,57.49,16.17,17.95,20.26,5.80,73.60,kidneybeans
27.27,59.90,24.68,18.08,19.93,5.70,65.08,kidneybeans
17.46,57.79,16.76,16.14,20.95,5.85,67.60,kidneybeans
34.72,60.44,23.07,17.03,21.79,5.62,69.94,kidneybeans
10.92,67.80,16.46,19.33,22.32,5.52,69.75,kidneybeans
23.05,69.24,24.24,16.46,20.36,5.90,74.17,kidneybeans
24.88,60.79,23.61,19.44,21.79,5.50,67.62,kidneybeans
10.02,67.85,22.38,19.42,21.36,5.96,60.27,kidneybeans
16.78,60.96,16.42,16.12,19.56,5.74,60.27,kidneybeans
26.44,69.39,19.15,17.00,22.77,5.97,67.92,kidneybeans
23.71,62.37,20.84,15.01,18.68,5.63,68.27,kidneybeans
23.71,62.48,17.82,19.94,21.84,5.69,68.29,kidneybeans
32.95,59.86,20.66,18.23,21.13,5.77,69.30,kidneybeans
10.65,60.86,21.90,18.45,21.74,5.72,68.71,kidneybeans
25.89,62.20,15.12,16.95,19.67,5.80,70.84,kidneybeans
26.47,55.00,16.77,15.64,22.94,5.96,70.90,kidneybeans
30.93,63.24,19.54,15.16,22.62,5.58,63.13,kidneybeans
18.69,59.59,20.15,18.93,20.41,5.82,69.58,kidneybeans
10.62,58.77,23.08,15.29,20.60,5.90,71.46,kidneybeans
16.93,61.11,16.20,17.65,22.77,5.52,73.49,kidneybeans
12.64,57.37,21.29,15.36,18.58,5.65,72.10,kidneybeans
24.76,58.53,22.05,15.55,19.87,5.92,74.24,kidneybeans
23.93,57.93,16.98,18.87,18.51,5.97,69.18,kidneybeans
30.90,63.51,24.30,18.35,21.46,5.54,65.97,kidneybeans
18.25,66.47,22.65,17.18,20.30,5.76,66.24,kidneybeans
31.54,62.45,20.18,18.78,22.75,5.87,71.84,kidneybeans
34.65,61.91,20.61,19.67,22.05,5.63,70.48,kidneybeans
17.77,69.24,15.56,19.34,22.39,5.73,67.73,kidneybeans
25.04,60.60,22.58,17.39,20.69,5.83,63.94,kidneybeans
24.62,64.81,24.04,15.23,20.93,5.81,60.67,kidneybeans
22.82,69.06,21.54,18.61,21.18,5.51,69.15,kidneybeans
11.16,55.04,19.42,18.12,22.02,5.50,61.91,kidneybeans
22.60,63.73,21.05,17.55,18.26,5.50,64.06,kidneybeans
15.80,57.35,15.15,19.01,18.91,5.77,61.28,kidneybeans
14.38,61.16,17.19,18.48,21.70,5.57,61.76,kidneybeans
23.54,56.03,20.22,19.81,18.17,5.62,71.30,kidneybeans
15.55,63.91,22.10,16.95,20.50,5.63,64.20,kidneybeans
24.59,64.06,23.20,17.65,21.84,5.53,74.47,kidneybeans
17.01,55.25,15.65,18.47,22.82,5.69,69.87,kidneybeans
17.17,59.84,24.66,15.87,19.56,5.63,74.79,kidneybeans
13.00,67.16,20.88,18.42,18.94,5.85,65.84,kidneybeans
11.98,64.44,15.16,17.66,21.82,5.64,66.39,kidneybeans
28.48,59.83,24.56,15.62,19.24,5.92,61.50,kidneybeans
15.99,67.49,20.97,19.05,22.89,5.66,66.45,kidneybeans
20.73,66.31,24.16,15.44,22.23,5.90,64.41,kidneybeans
19.22,56.16,24.37,15.91,18.19,5.54,71.37,kidneybeans
32.67,60.21,18.01,17.86,19.57,5.85,67.53,kidneybeans
33.37,59.04,15.11,17.70,21.80,5.72,67.65,kidneybeans
18.47,62.54,15.22,15.22,22.70,5.97,72.93,kidneybeans
25.85,60.32,18.66,17.60,21.66,5.94,63.01,kidneybeans
34.93,56.78,15.69,18.10,20.81,5.95,72.82,kidneybeans
28.47,63.42,19.23,15.28,18.90,5.92,72.46,kidneybeans
30.14,63.60,22.07,15.56,21.30,5.74,68.38,kidneybeans
23.37,61.10,19.99,16.74,20.50,5.91,64.48,kidneybeans
34.16,57.86,18.02,19.17,18.09,5.58,73.59,kidneybeans
11.86,66.65,15.19,19.14,21.40,5.79,66.33,kidneybeans
34.54,66.10,22.45,18.52,21.44,5.78,74.50,kidneybeans
30.34,66.53,23.42,17.27,22.10,5.67,61.08,kidneybeans
31.75,59.71,20.91,15.75,22.53,5.77,60.18,kidneybeans
27.78,59.40,24.67,15.39,19.04,5.61,73.68,kidneybeans
32.60,63.23,21.12,15.04,20.99,5.99,61.12,kidneybeans
12.19,56.49,19.71,17.44,22.57,5.62,60.63,kidneybeans
20.82,57.04,24.39,17.94,22.08,5.68,60.28,kidneybeans
33.66,56.86,23.46,17.92,19.15,5.81,68.44,kidneybeans
26.06,55.84,22.30,17.54,18.99,5.87,66.33,kidneybeans
10.64,67.48,17.81,19.18,19.47,5.82,74.44,kidneybeans
27.90,64.00,24.95,18.00,19.88,5.65,74.60,kidneybeans
28.55,66.96,17.81,17.69,20.21,5.98,65.70,kidneybeans
23.38,56.67,17.51,16.54,18.95,5.87,69.13,kidneybeans
31.28,63.64,19.60,19.71,21.31,5.97,64.25,kidneybeans
29.28,65.72,24.58,18.58,20.22,5.54,72.65,kidneybeans
24.10,69.65,22.03,18.59,21.77,5.69,61.13,kidneybeans
31.64,57.83,24.24,17.86,21.08,5.93,60.66,kidneybeans
20.31,62.57,17.73,17.87,18.78,5.54,65.14,kidneybeans
14.27,64.35,15.74,18.41,21.92,5.69,63.50,kidneybeans
13.17,69.33,16.44,19.43,22.70,5.73,61.22,kidneybeans
17.70,65.94,17.95,17.00,19.38,5.71,71.18,kidneybeans
23.99,63.54,18.48,15.98,20.90,5.70,70.85,kidneybeans
33.62,58.56,18.72,19.31,18.71,5.78,62.40,kidneybeans
22.07,58.73,21.89,17.15,18.63,5.94,67.44,kidneybeans
34.00,59.02,19.41,17.34,19.53,5.99,64.84,kidneybeans
24.53,66.82,22.54,18.77,20.91,6.00,68.07,kidneybeans
23.95,59.18,20.27,15.25,19.51,5.53,73.74,kidneybeans
16.69,63.34,21.70,16.79,22.76,5.73,74.62,kidneybeans
28.15,64.39,20.68,19.39,18.59,5.96,66.73,kidneybeans
33.29,56.37,17.35,15.77,21.32,5.56,71.61,kidneybeans
17.85,62.95,21.60,18.25,20.51,5.78,74.84,kidneybeans
34.91,61.51,23.40,15.61,19.64,5.65,70.31,kidneybeans
31.06,55.27,24.56,16.90,18.70,5.87,73.44,kidneybeans
13.70,58.87,15.22,16.23,20.91,5.92,72.38,kidneybeans
30.53,61.70,17.25,18.82,20.18,5.71,72.95,kidneybeans
17.66,69.16,24.87,26.97,57.39,7.30,114.12,pigeonpeas
16.58,70.35,24.05,24.91,54.87,7.03,115.91,pigeonpeas
18.36,71.77,19.01,24.46,58.39,7.44,113.85,pigeonpeas
33.51,69.09,24.49,24.02,56.64,7.16,114.07,pigeonpeas
27.83,69.38,23.92,25.32,58.59,7.47,124.24,pigeonpeas
23.10,60.04,16.24,26.56,57.42,7.68,121.83,pigeonpeas
16.38,65.75,16.42,24.27,52.82,7.28,113.06,pigeonpeas
25.52,72.14,20.92,24.31,54.63,7.20,128.44,pigeonpeas
21.94,64.97,23.76,24.98,50.42,7.15,121.34,pigeonpeas
22.34,63.76,20.07,25.57,55.52,7.74,129.09,pigeonpeas
22.11,72.45,17.18,26.38,52.17,7.56,116.90,pigeonpeas
17.96,73.45,22.84,25.92,59.74,7.95,114.43,pigeonpeas
19.57,72.38,19.88,24.15,51.00,7.10,121.17,pigeonpeas
28.38,74.27,21.53,26.56,56.42,7.76,118.38,pigeonpeas
17.43,61.74,19.60,26.47,53.29,7.69,113.98,pigeonpeas
29.93,72.60,23.26,26.50,56.75,7.55,112.31,pigeonpeas
33.82,69.59,18.21,24.79,52.78,7.23,117.04,pigeonpeas
23.84,60.67,21.62,25.21,51.52,7.82,125.50,pigeonpeas
16.24,71.78,20.63,26.49,54.98,7.66,117.28,pigeonpeas
26.93,72.91,23.97,24.10,58.28,7.74,119.93,pigeonpeas
23.36,73.54,15.15,26.86,50.78,7.71,118.28,pigeonpeas
29.50,64.85,18.18,24.89,59.39,7.87,118.90,pigeonpeas
20.26,67.79,24.63,25.80,57.73,7.56,123.78,pigeonpeas
19.99,69.54,18.64,24.25,54.15,7.33,120.00,pigeonpeas
17.59,67.39,19.16,26.66,58.07,7.87,129.04,pigeonpeas
31.35,63.92,19.93,26.37,59.20,7.17,111.54,pigeonpeas
